restaurant_name,inspection_type,inspection_date,inspection_score,street_number,street_name,street_unit,zip_code,street_address,inspection_month,inspection_year,lat,long
EDNA ROWE ELEMENTARY,Routine,11/21/2019,93,4918,HOVENKAMP,,75227,4918 HOVENKAMP DR,Nov 2019,FY2020,32.785105, -96.707589
SKYLINE HIGH SCHOOL,Routine,12/03/2019,99,7777,FORNEY,,75227,7777 FORNEY RD,Dec 2019,FY2020,32.778131, -96.690619
STARBUCKS COFFEE,Routine,12/06/2019,97,1201,ELM,#115,75202,1201 ELM ST #115,Dec 2019,FY2020,33.119845, -91.955569
LOVERS EGG ROLL,Routine,11/19/2019,82,16627,COIT,,75248,16627 COIT RD,Nov 2019,FY2020,32.980685, -96.768185
ANNIE BLANTON ELEMENTARY,Routine,12/02/2019,97,8915,GREENMOUND,,75227,8915 GREENMOUND AVE,Dec 2019,FY2020,32.750668, -96.668871
CAFE IZMIR,Routine,11/21/2019,84,3711,GREENVILLE,,75206,3711 GREENVILLE AVE,Nov 2019,FY2020,32.832108, -96.770145
4TH QUARTER BOYZ,Routine,11/22/2019,92,7460,WESTMORELAND,#123,75237,7460 WESTMORELAND RD #123,Nov 2019,FY2020,29.133886, -95.724686
WHATABURGER #559,Routine,11/15/2019,89,6061,GREENVILLE,,75206,6061 GREENVILLE AVE,Nov 2019,FY2020,32.859316, -96.768229
WESTIN 20TH FLOOR,Routine,12/12/2019,99,12720,MERIT,,75251,12720 MERIT DR,Dec 2019,FY2020,32.922124, -96.772077
BOMBONES (3 BARS),Routine,12/11/2019,96,11917,NORTHWEST,,75218,11917 E NORTHWEST HWY,Dec 2019,FY2020,32.8642, -96.675717
LEE HARVEY'S,Routine,11/18/2019,84,1807,GOULD,,75215,1807 GOULD ST,Nov 2019,FY2020,32.768123, -96.789363
7-ELEVEN CONVENIENCE STORE #12301A,Routine,11/25/2019,88,2911,LEDBETTER,,75211,2911 E LEDBETTER DR,Nov 2019,FY2020,32.694857, -96.771562
